# Execution 1: Jab Speed Scaling Test (10.0, 20.0, 25.0 rad/s)
arm,name,speed,mode,wu_ap,ap_wu,total,pk_rpm,pk_rad_s,avg_rad_s,m1_pk,m2_pk,m3_pk,m4_pk,m1_avg,m2_avg,m3_avg,m4_avg,m1_pk_W,m2_pk_W,m3_pk_W,m4_pk_W,m1_avg_W,m2_avg_W,m3_avg_W,m4_avg_W,total_pk_W,total_avg_W,status
LEFT,Jab,10.0,Waypoints,0.823,0.703,1.526,184,19.3,6.5,1.05,0.40,0.14,0.18,0.24,0.17,0.13,0.16,25.2,9.6,3.4,4.3,5.8,4.1,3.1,3.8,42.5,16.8,OK
LEFT,Jab,10.0,Waypoints,0.859,0.710,1.569,441,46.2,7.1,1.08,0.41,0.14,0.18,0.24,0.17,0.14,0.16,25.9,9.8,3.4,4.3,5.8,4.1,3.4,3.8,43.4,17.0,OK
LEFT,Jab,10.0,Waypoints,0.840,0.700,1.541,345,36.1,6.6,1.06,0.42,0.16,0.19,0.23,0.16,0.15,0.18,25.4,10.1,3.8,4.6,5.5,3.8,3.6,4.3,43.9,17.3,OK
LEFT,Jab,20.0,Waypoints,0.669,0.598,1.267,357,37.3,8.5,1.30,0.52,0.16,0.18,0.26,0.19,0.14,0.17,31.2,12.5,3.8,4.3,6.2,4.6,3.4,4.1,51.8,18.2,OK
LEFT,Jab,20.0,Waypoints,0.677,0.599,1.276,687,72.0,9.9,1.29,0.52,0.14,0.19,0.26,0.19,0.13,0.18,31.0,12.5,3.4,4.6,6.2,4.6,3.1,4.3,51.4,18.2,OK
LEFT,Jab,20.0,Waypoints,0.679,0.604,1.283,575,60.3,9.8,1.29,0.52,0.14,0.18,0.26,0.19,0.13,0.17,31.0,12.5,3.4,4.3,6.2,4.6,3.1,4.1,51.1,18.0,OK
LEFT,Jab,25.0,Waypoints,0.654,0.601,1.255,942,98.6,10.4,1.30,0.53,0.15,0.18,0.27,0.21,0.13,0.18,31.2,12.7,3.6,4.3,6.5,5.0,3.1,4.3,51.8,19.0,OK
LEFT,Jab,25.0,Waypoints,0.630,0.591,1.222,616,64.5,10.4,1.31,0.55,0.14,0.19,0.29,0.21,0.13,0.18,31.4,13.2,3.4,4.6,7.0,5.0,3.1,4.3,52.6,19.4,OK
LEFT,Jab,25.0,Waypoints,0.631,0.608,1.239,764,80.0,9.3,1.31,0.54,0.12,0.18,0.28,0.19,0.12,0.17,31.4,13.0,2.9,4.3,6.7,4.6,2.9,4.1,51.6,18.2,OK

# Execution 2: Left Arm All Strikes Performance Profiling (25.0 rad/s)
arm,name,speed,mode,wu_ap,ap_wu,total,pk_rpm,pk_rad_s,avg_rad_s,m1_pk,m2_pk,m3_pk,m4_pk,m1_avg,m2_avg,m3_avg,m4_avg,m1_pk_W,m2_pk_W,m3_pk_W,m4_pk_W,m1_avg_W,m2_avg_W,m3_avg_W,m4_avg_W,total_pk_W,total_avg_W,status
LEFT,Jab,25.0,Waypoints,0.648,0.607,1.255,1240,129.8,11.1,1.29,0.54,0.14,0.19,0.27,0.20,0.12,0.18,31.0,13.0,3.4,4.6,6.5,4.8,2.9,4.3,51.8,18.5,OK
LEFT,Jab,25.0,Waypoints,0.683,0.609,1.292,567,59.4,8.8,1.35,0.54,0.14,0.17,0.26,0.21,0.13,0.16,32.4,13.0,3.4,4.1,6.2,5.0,3.1,3.8,52.8,18.2,OK
LEFT,Jab,25.0,Waypoints,0.701,0.601,1.302,526,55.1,9.6,1.31,0.53,0.14,0.18,0.27,0.20,0.13,0.17,31.4,12.7,3.4,4.3,6.5,4.8,3.1,4.1,51.8,18.5,OK
LEFT,Jab,25.0,Waypoints,0.642,0.630,1.272,2088,218.7,11.9,1.31,0.55,0.14,0.19,0.28,0.21,0.14,0.17,31.4,13.2,3.4,4.6,6.7,5.0,3.4,4.1,52.6,19.2,OK
LEFT,Jab,25.0,Waypoints,0.639,0.591,1.230,367,38.5,9.2,1.31,0.52,0.14,0.19,0.28,0.20,0.14,0.18,31.4,12.5,3.4,4.6,6.7,4.8,3.4,4.3,51.8,19.2,OK
LEFT,Jab,25.0,Waypoints,0.647,0.591,1.238,365,38.2,9.3,1.30,0.53,0.14,0.18,0.28,0.20,0.13,0.17,31.2,12.7,3.4,4.3,6.7,4.8,3.1,4.1,51.6,18.7,OK
LEFT,Jab,25.0,Waypoints,0.666,0.595,1.261,609,63.8,9.7,1.39,0.54,0.13,0.19,0.28,0.21,0.12,0.17,33.4,13.0,3.1,4.6,6.7,5.0,2.9,4.1,54.0,18.7,OK
LEFT,Jab,25.0,Waypoints,0.631,0.595,1.226,317,33.2,8.9,1.34,0.53,0.13,0.19,0.28,0.21,0.13,0.17,32.2,12.7,3.1,4.6,6.7,5.0,3.1,4.1,52.6,19.0,OK
LEFT,Jab,25.0,Waypoints,0.639,0.608,1.246,399,41.8,9.0,1.34,0.55,0.16,0.18,0.29,0.20,0.15,0.17,32.2,13.2,3.8,4.3,7.0,4.8,3.6,4.1,53.5,19.4,OK
LEFT,Jab,25.0,Waypoints,0.639,0.598,1.236,319,33.4,8.9,1.33,0.55,0.16,0.18,0.27,0.21,0.15,0.17,31.9,13.2,3.8,4.3,6.5,5.0,3.6,4.1,53.3,19.2,OK
LEFT,Left Hook,25.0,Waypoints,0.659,0.614,1.273,607,63.6,7.5,0.95,0.95,0.15,0.19,0.27,0.29,0.14,0.18,22.8,22.8,3.6,4.6,6.5,7.0,3.4,4.3,53.8,21.1,OK
LEFT,Left Hook,25.0,Waypoints,0.662,0.603,1.265,368,38.5,7.5,0.87,0.93,0.14,0.17,0.27,0.30,0.13,0.16,20.9,22.3,3.4,4.1,6.5,7.2,3.1,3.8,50.6,20.6,OK
LEFT,Left Hook,25.0,Waypoints,0.656,0.603,1.258,396,41.5,7.4,0.85,0.92,0.14,0.18,0.27,0.29,0.13,0.16,20.4,22.1,3.4,4.3,6.5,7.0,3.1,3.8,50.2,20.4,OK
LEFT,Left Hook,25.0,Waypoints,0.668,0.614,1.282,668,70.0,7.8,0.70,0.87,0.14,0.18,0.26,0.29,0.13,0.17,16.8,20.9,3.4,4.3,6.2,7.0,3.1,4.1,45.4,20.4,OK
LEFT,Left Hook,25.0,Waypoints,0.670,0.620,1.290,730,76.4,7.6,0.88,0.90,0.15,0.18,0.27,0.29,0.13,0.17,21.1,21.6,3.6,4.3,6.5,7.0,3.1,4.1,50.6,20.6,OK
LEFT,Left Hook,25.0,Waypoints,0.653,0.615,1.268,376,39.4,7.4,0.84,0.86,0.16,0.17,0.26,0.30,0.15,0.16,20.2,20.6,3.8,4.1,6.2,7.2,3.6,3.8,48.7,20.9,OK
LEFT,Left Hook,25.0,Waypoints,0.655,0.675,1.330,854,89.4,8.0,0.84,0.85,0.14,0.18,0.26,0.25,0.13,0.17,20.2,20.4,3.4,4.3,6.2,6.0,3.1,4.1,48.2,19.4,OK
LEFT,Left Hook,25.0,Waypoints,0.664,0.621,1.285,638,66.9,7.3,0.86,0.77,0.13,0.18,0.27,0.30,0.12,0.17,20.6,18.5,3.1,4.3,6.5,7.2,2.9,4.1,46.6,20.6,OK
LEFT,Left Hook,25.0,Waypoints,0.656,0.609,1.265,421,44.1,7.5,0.81,0.94,0.16,0.18,0.26,0.30,0.15,0.18,19.4,22.6,3.8,4.3,6.2,7.2,3.6,4.3,50.2,21.4,OK
LEFT,Left Hook,25.0,Waypoints,0.646,0.617,1.263,874,91.6,7.8,0.85,0.90,0.15,0.18,0.27,0.30,0.14,0.17,20.4,21.6,3.6,4.3,6.5,7.2,3.4,4.1,49.9,21.1,OK
LEFT,Left Uppercut,25.0,Waypoints,0.565,0.533,1.098,218,22.9,7.5,0.92,0.87,0.12,0.20,0.35,0.17,0.11,0.19,22.1,20.9,2.9,4.8,8.4,4.1,2.6,4.6,50.6,19.7,OK
LEFT,Left Uppercut,25.0,Waypoints,0.564,0.538,1.102,228,23.9,7.9,0.70,0.86,0.11,0.18,0.33,0.17,0.10,0.18,16.8,20.6,2.6,4.3,7.9,4.1,2.4,4.3,44.4,18.7,OK
LEFT,Left Uppercut,25.0,Waypoints,0.558,0.527,1.085,375,39.3,7.9,0.71,0.93,0.11,0.20,0.33,0.16,0.10,0.19,17.0,22.3,2.6,4.8,7.9,3.8,2.4,4.6,46.8,18.7,OK
LEFT,Left Uppercut,25.0,Waypoints,0.563,0.534,1.097,446,46.8,7.2,0.69,0.93,0.11,0.20,0.33,0.17,0.10,0.19,16.6,22.3,2.6,4.8,7.9,4.1,2.4,4.6,46.3,19.0,OK
